title,category,sub category
ඩිජිටල් රහස්‍යතා රෙගුලාසි පිළිබඳ නව පනත් කෙටුම්පත ජනාධිපතිවරයා විසින් ඉදිරිපත් කරයි,Politics & Governance,Domestic Politics
අයවැය කප්පාදු මධ්‍යයේ පාර්ලිමේන්තුව නොමිලේ උසස් අධ්‍යාපන අරමුදල් විවාද කරයි,Politics & Governance,Domestic Politics
ග්‍රාමීය නියෝජනය ශක්තිමත් කිරීම සඳහා ශ්‍රී ලංකා පොදුජන පෙරමුණ මැතිවරණ ප්‍රතිසංස්කරණ යෝජනා කරයි,Politics & Governance,Domestic Politics
පළාත් පාලන මැතිවරණ ප්‍රමාදය විවේචනය කරන විපක්ෂ නායක,Politics & Governance,Domestic Politics
කොළඹ මහ නගර සභාව දූෂණ විරෝධී ක්ෂණික ඇමතුම් අංකයක් දියත් කරයි,Politics & Governance,Domestic Politics
ප්‍රතිපත්ති සම්පාදනයේදී වැඩි කාර්යභාරයක් ඉල්ලා සිටින ප්‍රධාන පක්ෂවල තරුණ අංශය,Politics & Governance,Domestic Politics
ආණ්ඩුක්‍රම ව්‍යවස්ථාවේ ආගමික නිදහස පිළිබඳ වගන්තිය පිළිබඳ විවාදයක් පුපුරා යයි,Politics & Governance,Domestic Politics
ශ්‍රී ලංකාවේ පළමු මාර්ගගත ඡන්ද විමසීමේ නියමු වැඩසටහන තාක්ෂණික පසුබෑමකට මුහුණ දෙයි,Politics & Governance,Domestic Politics
නව විමධ්‍යගත කිරීමේ පනත යටතේ පළාත් සභා බලගැන්වීමට නියමිතය,Politics & Governance,Domestic Politics
නව බදු යෝජනාව මධ්‍යම ආදායම් ලබන කණ්ඩායම්වලින් ප්‍රතික්‍රියාවලට මුහුණ දෙයි,Politics & Governance,Domestic Politics
2026 මැතිවරණයට පෙර දේශපාලන විශ්ලේෂකයින් ධ්‍රැවීකරණයක් පිළිබඳව අනතුරු අඟවයි,Politics & Governance,Domestic Politics
ශ්‍රී ලංකා පාර්ලිමේන්තුව අවම වැටුප් වැඩි කිරීමේ පනත් කෙටුම්පත අනුමත කරයි,Politics & Governance,Domestic Politics
ප්‍රසම්පාදන අක්‍රමිකතා සම්බන්ධයෙන් හිටපු අමාත්‍යවරයා ප්‍රශ්න කෙරේ,Politics & Governance,Domestic Politics
පාර්ශව-හරස්-සහයෝගයෙන් ජාතික හැඳුනුම්පත් පනත් කෙටුම්පත සම්මත කර ඇත,Politics & Governance,Domestic Politics
