token,tag
ඉන්දියාවේ,B-LOC
සහ,O
ශ්‍රී,B-LOC
ලංකාවේ,I-LOC
සත්කාරකත්වයෙන්,O
පැවැත්වෙන,O
2025,B-EVENT
ලෝක,I-EVENT
කුසලාන,I-EVENT
කාන්තා,I-EVENT
ක්‍රිකට්,B-ORG
තරගාවලියේ,O
දින,O
සහ,O
ක්‍රීඩාංගන,O
පිළිබඳව,O
අන්තර්ජාතික,B-ORG
ක්‍රිකට්,I-ORG
කවුන්සිලය,I-ORG
අද,O
(,O
02,O
),O
නිවේදනය,O
කළේ,O
ය,O
.,O
ඒ,O
අනුව,O
තරග,B-EVENT
පැවැත්වෙන්නේ,O
කොළඹ,B-LOC
ආර්,O
.,O
ප්‍රේමදාස,B-LOC
ක්‍රීඩාංගනය,I-LOC
සහ,O
ඉන්දියාවේ,B-LOC
බැංගලෝර්,I-LOC
",",O
ගුවහාටි,B-LOC
",",O
ඉන්දෝර්,B-LOC
මෙන්ම,O
විශාකාපට්නම්,B-LOC
ක්‍රීඩාංගනවලදීයි,O
.,O
කණ්ඩායම්,O
8ක්,O
එක්වන,O
තරගාවලිය,B-EVENT
ලබන,O
සැප්තැම්බර්,O
30,O
වැනිදා,O
සිට,O
නොවැම්බර්,O
2,O
වැනිදා,O
දක්වා,O
පැවැත්වීමට,O
කටයුතු,B-ORG
යොදා,O
තිබේ,O
.,O
එක්දින,B-EVENT
ක්‍රිකට්,B-ORG
තරග,B-EVENT
ඉතිහාසයේ,O
පළමු,B-EVENT
වරට,O
කිසිදු,O
පිතිකරුවෙක්,O
ශතකයක්,O
වාර්තා,O
නොකර,O
ඉනිමක්,O
තුළ,O
ලකුණු,O
400ක්,O
ලබා,O
ගත්,O
ලොව,O
පළමු,B-EVENT
කණ්ඩායම,B-ORG
බවට,O
එංගලන්තය,O
පත්වෙයි,O
.,O
ඒ,O
",",O
බටහිර,B-ORG
ඉන්දීය,I-ORG
කොදෙව්,I-ORG
කණ්ඩායමට,O
එරෙහිව,O
බර්මින්හැම්හිදී,B-LOC
දැන්,O
පැවැත්වෙන,O
පළමු,B-EVENT
එක්දින,I-EVENT
තරගයේදීය,O
.,O
ඒ,O
අනුව,O
තරගයේ,O
පළමුවෙන්,O
පන්දුවට,O
පහර,O
දුන්,O
එංගලන්තය,O
නියමිත,O
පන්දුවාර,O
50,O
අවසානයේදී,O
කඩුලු,O
8ක්,O
දැවී,O
ලකුණු,O
400ක්,O
ලබා,O
ගත්තේ,O
ලෝක,B-EVENT
ක්‍රිකට්,B-ORG
ප්‍රජාවගේ,O
අවධානය,O
යළිත්,O
වරක්,O
තමන්,O
වෙත,O
නතු,O
කර,O
ගනිමින්,O
වීම,O
විශේෂත්වයකි,O
.,O
තරගය,O
ජයග්‍රහණය,O
සඳහා,O
කොදෙව්වන්ට,O
පන්දුවාර,O
50,O
තුළ,O
ලකුණු,O
401ක,O
දැවැන්ත,O
ඉලක්කයක්,O
හිමිව,O
තිබේ,O
.,O
තමන්,O
ටෙස්ට්,O
ක්‍රිකට්,B-ORG
තරග,B-EVENT
බිමේ,O
සමු,O
ගන්නා,O
බව,O
හිටපු,O
ශ්‍රී,B-LOC
ලංකා,B-ORG
ක්‍රිකට්,I-ORG
නායක,O
ඇන්ජලෝ,B-PER
මැතිව්ස්,I-PER
අද,O
(,O
23,O
),O
නිවේදනය,O
කළේ,O
ය,O
.,O
2009,O
වසරේදී,O
පාකිස්ථානයට,B-LOC
එරෙහිව,O
පළමු,B-EVENT
ටෙස්ට්,O
තරගයට,O
ක්‍රීඩා,O
කළ,O
ඇන්ජලෝ,B-PER
මැතිව්ස්,I-PER
වසර,O
17ක්,O
තරග,B-EVENT
බිමේ,O
රැඳී,O
සිටියේ,O
ය,O
.,O
ටෙස්ට්,O
තරග,B-EVENT
118කට,O
ක්‍රීඩා,O
කළ,O
ඔහු,O
",",O
ශතක,O
16ක්,O
සහ,O
අර්ධ,O
ශතක,O
45ක්ද,O
සමගින්,O
රැස්,O
කර,O
ඇති,O
ලකුණු,O
සංඛ්‍යාව,O
8167ක්,O
බවත්,O
",",O
තුන්,O
ඉරියව්වෙන්ම,O
දස්කම්,O
දක්වන,O
ක්‍රීඩකයෙකු,O
බවත්,O
",",O
ටෙස්ට්,O
කඩුලු,O
33ක්,O
දවාගෙන,O
තිබේ,O
