title,category,sub category
ඩිජිටල් රහස්යතා රෙගුලාසි පිළිබඳ නව පනත් කෙටුම්පත ජනාධිපතිවරයා විසින් ඉදිරිපත් කරයි,PoliticsAndGovernance,DomesticPolitics
අයවැය කප්පාදු මධ්යයේ පාර්ලිමේන්තුව නොමිලේ උසස් අධ්යාපන අරමුදල් විවාද කරයි,PoliticsAndGovernance,DomesticPolitics
ග්රාමීය නියෝජනය ශක්තිමත් කිරීම සඳහා ශ්රී ලංකා පොදුජන පෙරමුණ මැතිවරණ ප්රතිසංස්කරණ යෝජනා කරයි,PoliticsAndGovernance,DomesticPolitics
පළාත් පාලන මැතිවරණ ප්රමාදය විවේචනය කරන විපක්ෂ නායක,PoliticsAndGovernance,DomesticPolitics
කොළඹ මහ නගර සභාව දූෂණ විරෝධී ක්ෂණික ඇමතුම් අංකයක් දියත් කරයි,PoliticsAndGovernance,DomesticPolitics
ප්රතිපත්ති සම්පාදනයේදී වැඩි කාර්යභාරයක් ඉල්ලා සිටින ප්රධාන පක්ෂවල තරුණ අංශය,PoliticsAndGovernance,DomesticPolitics
ආණ්ඩුක්රම ව්යවස්ථාවේ ආගමික නිදහස පිළිබඳ වගන්තිය පිළිබඳ විවාදයක් පුපුරා යයි,PoliticsAndGovernance,DomesticPolitics
ශ්රී ලංකාවේ පළමු මාර්ගගත ඡන්ද විමසීමේ නියමු වැඩසටහන තාක්ෂණික පසුබෑමකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
නව විමධ්යගත කිරීමේ පනත යටතේ පළාත් සභා බලගැන්වීමට නියමිතය,PoliticsAndGovernance,DomesticPolitics
නව බදු යෝජනාව මධ්යම ආදායම් ලබන කණ්ඩායම්වලින් ප්රතික්රියාවලට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
 මැතිවරණයට පෙර දේශපාලන විශ්ලේෂකයින් ධ්රැවීකරණයක් පිළිබඳව අනතුරු අඟවයි,PoliticsAndGovernance,DomesticPolitics
ශ්රී ලංකා පාර්ලිමේන්තුව අවම වැටුප් වැඩි කිරීමේ පනත් කෙටුම්පත අනුමත කරයි,PoliticsAndGovernance,DomesticPolitics
ප්රසම්පාදන අක්රමිකතා සම්බන්ධයෙන් හිටපු අමාත්යවරයා ප්රශ්න කෙරේ,PoliticsAndGovernance,DomesticPolitics
පාර්ශවහරස්සහයෝගයෙන් ජාතික හැඳුනුම්පත් පනත් කෙටුම්පත සම්මත කර ඇත,PoliticsAndGovernance,DomesticPolitics
දේශගුණික ප්රතිපත්තිය පිළිබඳ මහජන උපදේශනය රජය විසින් දියත් කරයි,PoliticsAndGovernance,DomesticPolitics
වෛරී කතා මැඩපැවැත්වීමට නව පනත් කෙටුම්පත උත්සාහ කරයි සමාජ මාධ්ය වේදිකා,PoliticsAndGovernance,DomesticPolitics
ජාතික විෂයමාලා සංශෝධන සම්බන්ධයෙන් අධ්යාපන අමාත්යාංශය විමර්ශනයට ලක් වේ,PoliticsAndGovernance,DomesticPolitics
පුරවැසියන් සහ මන්ත්රීවරුන් සහභාගී වන ප්රථම නගර ශාලාව කොළඹ දී පැවැත්වේ,PoliticsAndGovernance,DomesticPolitics
පාර්ලිමේන්තු සැසිවාර අතරතුර නොහික්මුණු හැසිරීම් නතර කරන ලෙස කථානායකවරයා ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
ඉදිරි මැතිවරණවලට පෙර පිහිටුවන ලද නව දේශපාලන සන්ධානය,PoliticsAndGovernance,DomesticPolitics
පළාත් පාලන කාර්යාලවල මූල්ය අක්රමිකතා විගණනයෙන් හෙළි වේ,PoliticsAndGovernance,DomesticPolitics
රාජ්ය අංශයේ වැටුප් සංශෝධනය මිශ්ර ප්රතිචාර ඇති කරයි,PoliticsAndGovernance,DomesticPolitics
විශ්රාම වැටුප් අරමුදල් භාවිතයේ විනිවිදභාවය සඳහා වෘත්තීය සමිති නායකයින් ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
ආපදා සහන ගෙවීම් ප්රමාද වීම සම්බන්ධයෙන් රජය විවේචනයට ලක්ව ඇත,PoliticsAndGovernance,DomesticPolitics
පළාත් වල රාජ්ය නොවන සංවිධාන ක්රියාකාරකම් පිළිබඳව දැඩි අධීක්ෂණයක් සිදු කරන බවට අමාත්යවරයා ප්රතිඥා දෙයි,PoliticsAndGovernance,DomesticPolitics
ශ්රී ලංකා පොදුජන පෙරමුණ මැතිවරණයට පෙර ප්රධාන කැබිනට් සංශෝධනයක් නිවේදනය කරයි,PoliticsAndGovernance,DomesticPolitics
කොළඹ මහ නගර සභාව නව අපද්රව්ය කළමනාකරණ නීති සම්පාදනයක් යෝජනා කරයි,PoliticsAndGovernance,DomesticPolitics
ජීවන වියදම ඉහළ යාම පිළිබඳව විපක්ෂ නායක පාර්ලිමේන්තු විවාදයක් ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
පළාත් සභාවලට පෙර තරුණ රැකියා සහතික කිරීමේ ප්රතිපත්තිය ජනතා විමුක්ති පෙරමුණ එළිදක්වයි,PoliticsAndGovernance,DomesticPolitics
සන්ධාන ආතතීන් මධ්යයේ ගාලු දිස්ත්රික් අතුරු මැතිවරණය පැවැත්වීමට නියමිතය,PoliticsAndGovernance,DomesticPolitics
පළාත් සභාවලට සෞඛ්ය සේවා විමධ්යගත කිරීමේ පනත් කෙටුම්පතට ජනාධිපතිවරයා අත්සන් තබයි,PoliticsAndGovernance,DomesticPolitics
බලය බෙදා ගැනීමේ ගිවිසුම සම්බන්ධයෙන් දෙමළ ජාතික සන්ධානය බෙදී යයි,PoliticsAndGovernance,DomesticPolitics
මහනුවර වැසියන් ප්රමාද වූ මාර්ග සංවර්ධන ව්යාපෘතිවලට විරෝධය පළ කරයි,PoliticsAndGovernance,DomesticPolitics
ශ්රී ලංකාවේ දූෂණ විරෝධී කාර්යාංශය අල්ලස් සම්බන්ධයෙන් මන්ත්රීවරුන්  දෙනෙකු විමර්ශනය කරයි,PoliticsAndGovernance,DomesticPolitics
නව කෘෂිකර්ම සහනාධාරය පාර්ලිමේන්තුවේ විවාදයට තුඩු දෙයි,PoliticsAndGovernance,DomesticPolitics
ඉදිරි පළාත් පාලන මැතිවරණ සඳහා එක්සත් ජාතික පක්ෂයඉටැක් සන්ධානය ආකෘති පත්ර,PoliticsAndGovernance,DomesticPolitics
බදු ප්රතිසංස්කරණ සම්බන්ධයෙන් මුදල් අමාත්යවරයා විශ්වාසභංග යෝජනාවකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
යාපනය පළාත් පාලන සභාව දෙමළ භාෂා අධ්යාපනය පුළුල් කිරීම අනුමත කරයි,PoliticsAndGovernance,DomesticPolitics
මධ්යම රාත්රියේ ඡන්දයෙන් පසු මතභේදාත්මක සයිබර් ආරක්ෂණ පනත් කෙටුම්පත සම්මත වේ,PoliticsAndGovernance,DomesticPolitics
ඉඩම් අත්පත් කර ගැනීමට එරෙහි අනුරාධපුර ගොවි රැලිය ප්රතිපත්තිය,PoliticsAndGovernance,DomesticPolitics
හිටපු ජනාධිපතිවරයාගේ පුත්රයා ශ්රී ලංකා පොදුජන පෙරමුණේ මහලේකම් ධුරයට තේරී පත් විය,PoliticsAndGovernance,DomesticPolitics
කොළඹ මහාධිකරණය ඉහළ පෙළේ දූෂණ නඩු  ක් කඩිනමින් නිරීක්ෂණය කරයි,PoliticsAndGovernance,DomesticPolitics
ජාතික ප්රතිපත්ති සංවාදය පුනර්ජනනීය බලශක්ති සංක්රාන්තිය පිළිබඳ විශේෂඥයින් ගැටේ,PoliticsAndGovernance,DomesticPolitics
රත්නපුර මැණික් වෙළෙන්දෝ නව අපනයන රෙගුලාසි සම්බන්ධයෙන් වැඩ වර්ජනය කරති,PoliticsAndGovernance,DomesticPolitics
මැතිවරණ කොමිසම වෛරී ප්රකාශ සම්බන්ධයෙන් පක්ෂවලට අනතුරු අඟවයි,PoliticsAndGovernance,DomesticPolitics
ආණ්ඩුක්රම ව්යවස්ථා සංශෝධනය කෙටුම්පත මඟින් විධායක ජනාධිපති ධුරය අහෝසි කිරීමට යෝජනා කරයි,PoliticsAndGovernance,DomesticPolitics
විශ්රාම වැටුප් ප්රතිසංස්කරණ සම්බන්ධයෙන් වෘත්තීය සමිති රට පුරා වැඩ වර්ජනයකට තර්ජනය කරයි,PoliticsAndGovernance,DomesticPolitics
මඩකලපුව ධීවරයින් නාවික කලාප සීමා කිරීම් සඳහා වන්දි ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
කුරුඳු කර්මාන්ත ලොබිකරුවන් යෝජිත අපනයන බද්ද අවහිර කරයි,PoliticsAndGovernance,DomesticPolitics
මානව හිමිකම් ගැටළු මධ්යයේ පොලිස් ප්රතිසංස්කරණ පනත් කෙටුම්පත අත්හිටුවන ලදී,PoliticsAndGovernance,DomesticPolitics
ඡන්ද මිලදී ගැනීමේ අපකීර්තියෙන් පසු මාතර මන්ත්රීවරයා ඉල්ලා අස්වෙයි,PoliticsAndGovernance,DomesticPolitics
රාජ්යයට අයත් ව්යවසායන් පෞද්ගලීකරණ සැලැස්ම නීතිමය අභියෝගයකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
මහනුවර කැසිනෝ බලපත්ර ලබා දීමට එරෙහිව බෞද්ධ භික්ෂූන් වහන්සේලා විරෝධතාවයට නායකත්වය දෙති,PoliticsAndGovernance,DomesticPolitics
මධ්යම පළාත් ආණ්ඩුකාර දෝෂාභියෝග ක්රියාදාමයන් ආරම්භ වේ,PoliticsAndGovernance,DomesticPolitics
පාරිසරික සමාලෝචන මඟ හැරීම සම්බන්ධයෙන් කොළඹ වරාය නගර අධිකාරියට චෝදනා,PoliticsAndGovernance,DomesticPolitics
උතුරේ ඡන්දදායක ලැයිස්තුව විකෘති කිරීම සම්බන්ධයෙන් විපක්ෂය චෝදනා කරයි පළාත,PoliticsAndGovernance,DomesticPolitics
නව වනජීවී ආරක්ෂණ නීතිය පතල් සමාගම් සමඟ ගැටුමකට තුඩු දෙයි,PoliticsAndGovernance,DomesticPolitics
ජනාධිපති කාර්ය සාධක බලකාය ඩිජිටල් පාලනය මාර්ග සිතියම දියත් කරයි,PoliticsAndGovernance,DomesticPolitics
පළාත් පාලන මැතිවරණවලදී පක්ෂග්රාහී ආවරණයක් සම්බන්ධයෙන් චෝදනා එල්ල වන රාජ්ය මාධ්ය,PoliticsAndGovernance,DomesticPolitics
ත්රිකුණාමලයේ මතභේදාත්මක ප්රතිමා ඉවත් කිරීම ජනවාර්ගික ආතතීන් ඇති කරයි,PoliticsAndGovernance,DomesticPolitics
ඉන්ධන සහනාධාර කප්පාදුව පාර්ලිමේන්තු වැඩවර්ජනයට හේතු වේ,PoliticsAndGovernance,DomesticPolitics
තේ වතු කම්කරු සංගමය ඓතිහාසික වැටුප් වැඩිවීමක් සාකච්ඡා කරයි,PoliticsAndGovernance,DomesticPolitics
